FEATURE_ID|FEATURE_NAME|FEATURE_CLASS|STATE_ALPHA|STATE_NUMERIC|COUNTY_NAME|COUNTY_NUMERIC|PRIMARY_LAT_DMS|PRIM_LONG_DMS|PRIM_LAT_DEC|PRIM_LONG_DEC|SOURCE_LAT_DMS|SOURCE_LONG_DMS|SOURCE_LAT_DEC|SOURCE_LONG_DEC|ELEV_IN_M|ELEV_IN_FT|MAP_NAME|DATE_CREATED|DATE_EDITED
888381|Dickson Farm|Locale|NM|35|Eddy|015|322146N|1040610W|32.3628978|-104.1027203|||||927|3041|Loving|11/13/1980|
2657783|Happy Valley Fire Department Station 1|Building|NM|35|Eddy|015|322927N|1041834W|32.4907683|-104.3095039|||||988|3241|Carlsbad West|01/13/2011|
921172|Calvary Assembly of God Church|Church|NM|35|Eddy|015|322514N|1041344W|32.4206736|-104.2288375|||||945|3100|Carlsbad East|09/01/1993|
931888|06068 Water Well|Well|NM|35|Eddy|015|324900N|1042415W|32.8167794|-104.4041296|||||1035|3396|Artesia|05/01/1994|
933697|Edward R Gasler House Historic Site|Building|NM|35|Eddy|015|325032N|1042412W|32.8423345|-104.4032963|||||1030|3379|Artesia|08/01/1994|
931080|06685 Water Well|Well|NM|35|Eddy|015|321751N|1043839W|32.2976089|-104.6441231|||||1306|4285|Red Bluff Draw|05/01/1994|
906069|El Paso Gap|Gap|NM|35|Eddy|015|320506N|1045001W|32.0851117|-104.8335628|||||1674|5492|El Paso Gap|11/13/1980|
894198|Rounds Waterhole|Reservoir|NM|35|Eddy|015|322527N|1042616W|32.4240595|-104.4378145|||||1125|3691|Azotea Peak|11/13/1980|06/24/2011
933428|Flynn-Welch-Yates Number Three Oil Well Historic Site|Locale|NM|35|Eddy|015|325032N|1042412W|32.8423345|-104.4032963|||||1030|3379|Artesia|08/01/1994|
893127|Paxton Well|Locale|NM|35|Eddy|015|320619N|1041544W|32.1053981|-104.262164|||||982|3222|Jumping Spring|11/13/1980|
899947|Tecolote Peak|Summit|NM|35|Eddy|015|320037N|1040944W|32.0104008|-104.1621569|||||979|3212|Cottonwood Hills|11/13/1980|
892981|Owl Draw|Valley|NM|35|Eddy|015|320106N|1040536W|32.0184572|-104.0932648|315735N|1042426W|31.9598422|-104.4071644|903|2963|Red Bluff|11/13/1980|
902674|Twin Boils Spring|Spring|NM|35|Eddy|015|323333N|1042326W|32.559118|-104.3906084|||||982|3222|Seven Rivers|01/01/1993|04/19/2011
908725|Middleton Storage Tank|Reservoir|NM|35|Eddy|015|321013N|1044809W|32.170387|-104.8024536|||||1840|6037|Pickett Hill|08/31/1992|
899518|Barber Crossing|Populated Place|NM|35|Eddy|015|322907N|1042348W|32.4853925|-104.396625|||||1030|3379|Azotea Peak|11/13/1980|
893897|Righthand Well|Well|NM|35|Eddy|015|322533N|1043027W|32.4259458|-104.5074609|||||1220|4003|Martha Creek|11/13/1980|
899661|Hagerman Heights|Populated Place|NM|35|Eddy|015|322458N|1041317W|32.4162292|-104.2213371|||||947|3107|Carlsbad East|11/13/1980|
899665|Harkey Crossing|Populated Place|NM|35|Eddy|015|321411N|1041151W|32.2365084|-104.1974422|||||959|3146|Bond Draw|11/13/1980|
930030|06048 Water Well|Well|NM|35|Eddy|015|324945N|1042415W|32.8292792|-104.4041296|||||1034|3392|Artesia|05/01/1994|
920267|Christian Science Society Church|Church|NM|35|Eddy|015|325032N|1042412W|32.8423345|-104.4032963|||||1030|3379|Artesia|08/01/1993|
932149|20082 Water Well|Well|NM|35|Eddy|015|320532N|1040019W|32.0923464|-104.0052072|||||911|2989|Red Bluff|05/01/1994|
894098|Rock Windmill|Locale|NM|35|Eddy|015|320206N|1043625W|32.0351158|-104.6068925|||||1297|4255|Grapevine Draw|11/13/1980|
929307|KBPM-La Huerta (Los Alamos)|Tower|NM|35|Eddy|015|322945N|1041115W|32.4959513|-104.1874495|||||982|3222|Carlsbad East|05/01/1994|
931927|71036 Water Well|Well|NM|35|Eddy|015|324612N|1042340W|32.7701135|-104.394407|||||1031|3383|Artesia|05/01/1994|
887282|Catclaw Draw|Valley|NM|35|Eddy|015|322909N|1042232W|32.4859484|-104.3755129|322802N|1042354W|32.4672222|-104.3983333|1009|3310|Azotea Peak|11/13/1980|
